,Date,Low,High,Close,Open
264,2021-12-28,32.1352,33.8399,32.39,33.13
263,2021-12-27,32.96,34.4899,33.2,33.93
262,2021-12-23,33.06,34.55,34.25,33.3
261,2021-12-22,32.95,34.47,33.44,33.19
260,2021-12-21,32.34,33.704,33.64,32.38
259,2021-12-20,30.7,32.29,31.82,31.02
258,2021-12-17,30.38,32.98,31.81,31.4
257,2021-12-16,31.32,35.1394,31.54,35.03
256,2021-12-15,31.81,35.25,35.01,31.9
255,2021-12-14,30.57,32.915,31.18,31.85
254,2021-12-13,31.47,34.15,32.35,32.88
253,2021-12-10,32.7403,36.33,33.64,36.15
252,2021-12-09,31.72,33.99,32.09,33.4
251,2021-12-08,31.8,34.81,33.99,32.2
250,2021-12-07,31.42,32.77,32.03,31.42
249,2021-12-06,27.64,31.07,30.25,29.03
248,2021-12-03,27.8,29.94,29.75,29.58
247,2021-12-02,27.52,32.0,30.04,31.51
246,2021-12-01,33.73,38.15,33.83,37.4
245,2021-11-30,35.8,38.77,36.96,37.29
244,2021-11-29,36.52,39.358,37.85,39.3
243,2021-11-26,37.0,39.18,38.38,37.02
242,2021-11-24,36.2053,38.3,38.03,36.97
241,2021-11-23,36.33,38.45,37.28,37.0
240,2021-11-22,36.65,39.95,37.58,39.71
239,2021-11-19,39.334,41.06,39.91,40.9
238,2021-11-18,40.22,46.039,40.94,46.0
237,2021-11-17,45.88,48.32,46.18,48.21
236,2021-11-16,46.4,48.6,48.47,48.0
235,2021-11-15,47.78,51.6486,48.28,50.25
234,2021-11-12,45.76,47.4,47.27,46.1
233,2021-11-11,45.75,47.68,45.82,47.55
232,2021-11-10,45.51,51.6699,46.06,49.9
231,2021-11-09,48.91,53.82,50.84,50.09
230,2021-11-08,48.19,49.94,49.29,48.25
229,2021-11-05,47.75,51.32,48.31,49.17
228,2021-11-04,48.5,50.01,48.83,49.61
227,2021-11-03,45.18,49.85,49.5,45.48
226,2021-11-02,44.4438,45.77,45.76,45.0
225,2021-11-01,43.78,45.51,44.66,45.36
224,2021-10-29,44.19,45.7,45.12,44.5
223,2021-10-28,43.72,45.0,44.63,44.0
222,2021-10-27,43.63,46.42,43.91,45.82
221,2021-10-26,45.53,48.33,45.56,46.25
220,2021-10-25,45.5652,46.3501,45.96,46.06
219,2021-10-22,45.58,47.2,45.61,47.2
218,2021-10-21,46.9001,48.29,47.48,47.02
217,2021-10-20,46.8,48.05,47.43,47.71
216,2021-10-19,45.955,47.94,47.75,46.22
215,2021-10-18,45.04,46.62,45.9,45.29
214,2021-10-15,45.14,47.08,45.3,46.7
213,2021-10-14,46.24,47.33,46.63,47.0
212,2021-10-13,45.0,46.885,46.76,45.43
211,2021-10-12,44.32,45.44,45.04,44.43
210,2021-10-11,43.65,45.23,44.29,43.9
209,2021-10-08,44.22,45.98,44.24,45.38
208,2021-10-07,44.17,45.6969,44.99,44.26
207,2021-10-06,42.81,44.5,44.44,43.0
206,2021-10-05,42.7,44.6,43.85,43.2
205,2021-10-04,43.04,45.4399,43.14,45.29
204,2021-10-01,44.6,46.81,45.89,46.54
203,2021-09-30,45.11,46.59,46.34,45.47
202,2021-09-29,45.35,47.49,45.39,47.01
201,2021-09-28,46.31,49.04,46.31,49.0
200,2021-09-27,49.35,50.59,49.44,49.53
199,2021-09-24,48.76,49.99,49.48,49.49
198,2021-09-23,48.15,50.28,49.66,48.55
197,2021-09-22,47.116,47.9899,47.76,47.43
196,2021-09-21,46.78,48.2,46.78,47.5
195,2021-09-20,46.56,50.0,47.06,49.85
194,2021-09-17,49.62,51.32,50.12,49.73
