,Date,Low,High,Close,Open
573,2021-12-28,176.29,186.28,177.42,185.7
572,2021-12-27,179.7701,184.86,183.47,182.0
571,2021-12-23,175.73,182.0,180.36,179.41
570,2021-12-22,174.275,183.31,179.68,176.98
569,2021-12-21,163.93,177.64,177.49,166.99
568,2021-12-20,158.58,168.85,164.38,163.8
567,2021-12-17,158.7501,171.38,170.16,160.0
566,2021-12-16,161.32,173.0,164.05,172.4
565,2021-12-15,160.03,171.82,171.02,161.22
564,2021-12-14,153.75,163.62,160.78,157.32
563,2021-12-13,169.06,182.25,172.03,174.94
562,2021-12-10,173.23,183.16,174.56,177.71
561,2021-12-09,173.17,185.95,175.41,183.5
560,2021-12-08,173.41,184.37,183.16,177.59
559,2021-12-07,165.03,177.55,177.01,165.37
558,2021-12-06,153.28,163.55,161.41,160.43
557,2021-12-03,152.82,168.88,164.22,168.88
556,2021-12-02,158.16,169.82,169.44,159.6
555,2021-12-01,161.31,185.0,164.53,182.85
554,2021-11-30,174.0,186.29,178.29,183.28
553,2021-11-29,180.75,187.7,182.99,183.8
552,2021-11-26,178.22,184.9099,181.25,180.0
551,2021-11-24,171.24,182.9,180.34,174.57
550,2021-11-23,168.08,181.25,179.42,170.61
549,2021-11-22,178.2,193.0,180.75,193.0
548,2021-11-19,192.0,197.87,192.6,197.6962
547,2021-11-18,188.01,195.05,190.6,191.39
546,2021-11-17,189.53,199.675,190.26,193.75
545,2021-11-16,186.33,193.6,193.26,188.1484
544,2021-11-15,186.32,194.669,191.0,194.585
543,2021-11-12,189.6,194.21,193.03,190.79
542,2021-11-11,189.66,196.49,190.34,191.05
541,2021-11-10,184.82,196.51,188.8,194.0
540,2021-11-09,190.72,197.69,196.56,195.6034
539,2021-11-08,184.88,194.35,191.35,186.2862
538,2021-11-05,177.48,194.0,185.51,193.89
537,2021-11-04,161.55,168.19,166.95,163.0
536,2021-11-03,161.5,164.98,162.79,164.5
535,2021-11-02,160.65,166.44,164.88,166.03
534,2021-11-01,162.22,169.19,165.2,167.46
533,2021-10-29,161.38,168.73,167.05,161.92
532,2021-10-28,154.36,161.19,161.0,156.175
531,2021-10-27,155.5,164.17,157.09,163.0
530,2021-10-26,159.42,165.34,163.87,164.58
529,2021-10-25,160.58,164.155,161.58,161.98
528,2021-10-22,158.61,162.93,162.39,160.94
527,2021-10-21,158.735,162.36,160.92,159.45
526,2021-10-20,154.75,159.86,158.85,159.43
525,2021-10-19,156.01,160.44,157.94,158.0
524,2021-10-18,154.5,159.125,157.42,154.95
523,2021-10-15,151.24,156.16,154.48,153.72
522,2021-10-14,152.65,159.9241,153.36,157.5
521,2021-10-13,146.36,156.8,155.89,146.86
