,Date,Low,High,Close,Open
4349,2021-12-28,53.07,54.02,53.55,53.24
4348,2021-12-27,52.24,53.14,53.1,52.42
4347,2021-12-24,52.47,52.77,52.69,52.6
4346,2021-12-23,52.23,52.9,52.63,52.78
4345,2021-12-22,51.67,52.66,52.66,51.74
4344,2021-12-21,51.28,52.25,51.44,52.25
4343,2021-12-20,50.39,51.82,51.76,50.85
4342,2021-12-17,50.81,52.36,51.73,52.09
4341,2021-12-16,52.32,54.5,52.32,54.24
4340,2021-12-15,51.6,52.87,52.71,51.62
4339,2021-12-14,51.44,53.05,51.55,52.46
4338,2021-12-13,52.61,53.56,52.87,53.3
4337,2021-12-10,52.63,53.41,53.09,53.36
4336,2021-12-09,53.4,54.28,53.74,53.82
4335,2021-12-08,53.28,54.63,53.48,53.75
4334,2021-12-07,52.19,53.72,53.58,52.2
4333,2021-12-06,51.63,52.56,51.63,52.2
4332,2021-12-03,51.58,53.21,51.63,52.52
4331,2021-12-02,51.9,53.61,52.27,53.37
4330,2021-12-01,52.63,54.1,53.68,53.78
4329,2021-11-30,52.99,54.23,53.19,53.25
4328,2021-11-29,52.94,53.8,53.43,53.0
4327,2021-11-26,51.11,53.75,52.89,51.59
4326,2021-11-25,52.46,53.27,53.11,52.51
4325,2021-11-24,50.88,53.73,52.11,53.13
4324,2021-11-23,52.97,55.15,53.25,54.97
4323,2021-11-22,55.33,56.81,55.33,56.29
4322,2021-11-19,55.25,56.82,56.22,55.44
4321,2021-11-18,54.88,55.56,55.44,54.91
4320,2021-11-17,55.05,55.58,55.22,55.17
4319,2021-11-16,54.57,55.73,55.11,55.55
4318,2021-11-15,54.85,55.5,55.5,55.27
4317,2021-11-12,54.48,55.25,55.25,54.71
4316,2021-11-11,53.28,54.86,54.71,53.75
4315,2021-11-10,53.3,55.16,53.95,54.73
4314,2021-11-09,54.5,55.2,54.82,54.5
4313,2021-11-08,54.1,54.94,54.78,54.21
4312,2021-11-05,53.86,54.99,54.41,54.29
4311,2021-11-04,52.9,54.56,54.36,53.29
4310,2021-11-03,51.97,53.09,53.09,52.0
4309,2021-11-02,50.52,51.97,51.91,50.52
4308,2021-11-01,50.28,50.85,50.62,50.61
4307,2021-10-29,49.33,50.45,50.38,49.905
4306,2021-10-28,47.115,50.29,50.0,48.0
4305,2021-10-27,46.785,47.365,47.23,47.06
4304,2021-10-26,46.62,47.275,47.14,46.795
4303,2021-10-25,46.525,46.965,46.79,46.85
4302,2021-10-22,46.615,47.315,46.665,47.015
4301,2021-10-21,46.21,47.0,46.96,46.445
4300,2021-10-20,46.2,46.985,46.49,46.35
4299,2021-10-19,45.955,46.685,46.565,46.5
4298,2021-10-18,45.46,46.285,46.285,45.825
4297,2021-10-15,45.585,46.195,46.1,46.01
4296,2021-10-14,45.3,45.995,45.85,45.64
4295,2021-10-13,44.025,45.425,45.29,44.1
