,Date,Low,High,Close,Open
5575,2021-12-28,51.63,52.12,51.76,51.93
5574,2021-12-27,51.3022,52.06,51.94,51.35
5573,2021-12-23,51.05,51.73,51.31,51.08
5572,2021-12-22,50.21,51.02,50.97,50.64
5571,2021-12-21,49.94,50.84,50.77,49.94
5570,2021-12-20,48.96,50.13,49.6,49.91
5569,2021-12-17,50.01,51.02,50.62,50.59
5568,2021-12-16,50.575,51.4,50.83,50.74
5567,2021-12-15,49.325,50.78,50.67,49.87
5566,2021-12-14,49.32,50.27,49.7,49.82
5565,2021-12-13,49.95,51.02,50.0,50.85
5564,2021-12-10,50.05,51.07,50.59,50.84
5563,2021-12-09,50.43,51.585,50.48,51.3
5562,2021-12-08,51.3838,52.88,51.75,52.57
5561,2021-12-07,52.21,55.0,52.57,54.66
5560,2021-12-06,49.18,51.21,50.99,49.48
5559,2021-12-03,48.76,50.06,49.25,49.675
5558,2021-12-02,48.33,49.7947,49.5,48.61
5557,2021-12-01,48.52,50.3062,48.6,49.84
5556,2021-11-30,48.68,50.4,49.2,49.5
5555,2021-11-29,48.72,50.13,50.0,49.3
5554,2021-11-26,48.115,49.175,48.78,48.9
5553,2021-11-24,48.63,49.78,49.76,48.855
5552,2021-11-23,48.64,50.45,49.1,50.16
5551,2021-11-22,49.41,50.85,49.83,49.55
5550,2021-11-19,49.24,49.73,49.52,49.6
5549,2021-11-18,48.97,50.24,49.68,50.24
5548,2021-11-17,49.98,50.9399,50.23,50.6
5547,2021-11-16,50.34,51.15,50.61,50.37
5546,2021-11-15,50.12,50.63,50.32,50.41
5545,2021-11-12,50.18,50.9,50.31,50.595
5544,2021-11-11,50.41,51.07,50.53,51.01
5543,2021-11-10,50.71,51.3873,50.76,50.975
5542,2021-11-09,50.765,51.77,51.2,51.54
5541,2021-11-08,51.06,51.99,51.55,51.46
5540,2021-11-05,50.54,51.58,50.92,50.55
5539,2021-11-04,49.73,50.35,50.31,50.24
5538,2021-11-03,49.71,50.45,50.39,49.9313
5537,2021-11-02,49.23,49.895,49.86,49.61
5536,2021-11-01,49.0,49.6,49.55,49.4
5535,2021-10-29,47.92,49.28,49.0,48.1
5534,2021-10-28,47.88,48.3599,48.08,48.14
5533,2021-10-27,47.87,48.8155,47.89,48.52
5532,2021-10-26,47.93,49.44,48.28,49.4
5531,2021-10-25,49.31,50.07,49.41,49.825
5530,2021-10-22,49.14,50.55,49.46,50.39
5529,2021-10-21,54.83,56.07,56.0,54.925
5528,2021-10-20,55.08,55.485,55.37,55.25
5527,2021-10-19,54.37,55.22,55.21,54.6257
5526,2021-10-18,53.72,54.56,54.47,54.185
5525,2021-10-15,53.8095,54.49,54.46,54.2
5524,2021-10-14,52.73,54.0,53.9,52.895
5523,2021-10-13,51.865,52.5784,52.26,52.38
5522,2021-10-12,52.01,53.72,52.17,53.57
5521,2021-10-11,53.42,54.41,53.44,53.81
5520,2021-10-08,53.7,54.58,53.81,54.55
5519,2021-10-07,54.12,54.985,54.18,54.319
5518,2021-10-06,53.07,54.07,53.98,53.48
5517,2021-10-05,53.475,54.34,53.95,53.55
5516,2021-10-04,53.08,54.33,53.47,53.93
5515,2021-10-01,53.05,54.105,53.86,53.645
5514,2021-09-30,53.26,53.98,53.28,53.76
5513,2021-09-29,53.18,54.05,53.49,54.0
5512,2021-09-28,53.96,54.59,54.0,54.18
5511,2021-09-27,53.82,54.87,54.66,53.94
5510,2021-09-24,53.73,54.423,54.22,53.775
5509,2021-09-23,53.6,54.3,54.03,53.75
5508,2021-09-22,53.0,53.87,53.5,53.4
5507,2021-09-21,52.83,53.45,52.87,53.2
5506,2021-09-20,52.32,53.5,52.98,53.2135
5505,2021-09-17,53.665,54.59,54.26,54.59
5504,2021-09-16,54.24,54.95,54.83,54.86
5503,2021-09-15,54.42,55.15,55.12,54.67
5502,2021-09-14,54.27,55.44,54.52,55.37
5501,2021-09-13,54.41,55.485,54.99,54.61
5500,2021-09-10,53.81,54.98,53.84,53.85
5499,2021-09-09,53.34,53.89,53.4,53.66
5498,2021-09-08,52.99,53.92,53.57,53.73
5497,2021-09-07,53.44,53.95,53.65,53.57
5496,2021-09-03,53.3193,54.08,53.51,53.44
5495,2021-09-02,53.35,53.89,53.73,53.8
5494,2021-09-01,53.53,54.155,53.67,54.11
5493,2021-08-31,53.66,54.5,54.06,54.44
5492,2021-08-30,53.76,54.87,53.94,54.26
5491,2021-08-27,52.92,53.94,53.89,53.36
5490,2021-08-26,52.9729,53.745,53.13,53.745
5489,2021-08-25,53.731,54.23,53.81,54.08
5488,2021-08-24,53.31,53.97,53.81,53.555
5487,2021-08-23,52.48,53.535,53.23,52.59
5486,2021-08-20,51.42,52.38,52.01,52.16
5485,2021-08-19,51.58,52.67,52.44,52.0544
5484,2021-08-18,52.11,53.03,52.19,52.6
5483,2021-08-17,52.22,53.1784,52.69,53.17
5482,2021-08-16,53.0,53.49,53.47,53.23
5481,2021-08-13,53.055,53.555,53.49,53.5
5480,2021-08-12,53.255,54.18,53.54,54.17
5479,2021-08-11,53.84,54.36,54.14,54.26
5478,2021-08-10,53.51,54.385,53.94,54.24
5477,2021-08-09,53.83,54.41,54.05,54.08
5476,2021-08-06,53.73,54.13,53.92,53.86
5475,2021-08-05,53.58,54.02,53.89,53.99
5474,2021-08-04,53.7,54.44,53.9,54.25
5473,2021-08-03,53.26,54.16,54.06,53.89
5472,2021-08-02,53.535,54.47,53.68,53.99
5471,2021-07-30,53.25,53.9,53.72,53.65
5470,2021-07-29,53.32,54.1,53.7,53.48
5469,2021-07-28,52.94,53.92,53.07,53.03
5468,2021-07-27,52.31,53.2,53.18,53.12
5467,2021-07-26,52.76,54.54,54.31,52.81
5466,2021-07-23,52.32,54.71,53.0,54.58
5465,2021-07-22,55.68,56.54,55.96,56.06
5464,2021-07-21,55.01,56.28,56.23,55.18
5463,2021-07-20,54.2684,55.56,55.24,54.915
5462,2021-07-19,53.97,54.805,54.64,54.41
5461,2021-07-16,54.9,56.9295,54.97,56.05
5460,2021-07-15,55.57,56.4,55.81,56.4
5459,2021-07-14,56.3339,57.455,56.52,57.17
5458,2021-07-13,56.34,57.3,56.87,56.62
5457,2021-07-12,56.11,56.755,56.73,56.26
5456,2021-07-09,55.31,56.105,55.99,55.51
5455,2021-07-08,54.7901,55.72,55.39,55.31
5454,2021-07-07,55.705,56.45,55.96,56.37
5453,2021-07-06,55.7,57.01,56.09,56.92
5452,2021-07-02,56.32,56.99,56.76,56.55
5451,2021-07-01,55.87,56.64,56.01,56.13
5450,2021-06-30,55.39,56.375,56.14,56.34
5449,2021-06-29,55.88,57.83,56.75,57.55
5448,2021-06-28,56.34,57.725,57.48,56.36
5447,2021-06-25,55.745,56.405,55.91,56.02
5446,2021-06-24,55.34,56.1,56.07,55.49
5445,2021-06-23,55.23,55.974,55.26,55.87
5444,2021-06-22,55.5049,56.2799,55.87,55.94
5443,2021-06-21,55.37,56.04,55.87,55.75
5442,2021-06-18,55.1,56.75,55.67,56.68
5441,2021-06-17,56.7,57.9,57.18,57.05
5440,2021-06-16,56.765,58.37,57.22,58.15
5439,2021-06-15,57.8001,58.415,57.99,58.21
5438,2021-06-14,57.23,58.2,58.19,58.02
5437,2021-06-11,56.95,57.94,57.85,57.47
5436,2021-06-10,56.925,58.03,57.38,57.15
5435,2021-06-09,56.97,57.475,57.0,57.36
5434,2021-06-08,56.6,57.64,57.0,57.45
5433,2021-06-07,56.775,57.44,57.09,57.41
5432,2021-06-04,56.54,57.75,57.37,56.55
5431,2021-06-03,56.085,57.1,56.24,56.98
5430,2021-06-02,56.755,57.69,57.48,56.91
5429,2021-06-01,56.59,57.82,56.89,57.61
5428,2021-05-28,56.94,57.65,57.12,57.55
5427,2021-05-27,57.0,57.88,57.73,57.11
5426,2021-05-26,56.585,57.23,56.92,57.05
5425,2021-05-25,56.42,57.56,56.87,57.56
5424,2021-05-24,56.4,57.39,56.96,56.648
5423,2021-05-21,55.9801,56.71,56.08,56.42
5422,2021-05-20,55.36,56.24,55.95,55.57
5421,2021-05-19,53.8418,55.43,55.36,54.07
5420,2021-05-18,54.8,56.14,54.84,55.95
5419,2021-05-17,54.76,55.89,55.33,55.29
5418,2021-05-14,54.255,55.8467,55.35,54.6046
5417,2021-05-13,53.46,54.39,54.01,54.04
5416,2021-05-12,53.42,54.65,53.62,54.39
5415,2021-05-11,54.3,55.63,55.04,55.05
5414,2021-05-10,55.88,57.23,55.97,57.1465
5413,2021-05-07,57.24,58.01,57.67,57.7
5412,2021-05-06,56.245,57.25,57.19,56.615
5411,2021-05-05,56.46,57.3,56.85,56.96
5410,2021-05-04,55.81,56.98,56.9,56.88
5409,2021-05-03,56.84,57.8768,57.26,57.855
5408,2021-04-30,57.07,58.43,57.53,57.61
5407,2021-04-29,57.47,58.3,58.28,57.88
5406,2021-04-28,57.15,58.16,57.62,57.52
5405,2021-04-27,57.77,58.63,57.97,58.555
5404,2021-04-26,58.46,59.52,58.76,59.1
5403,2021-04-23,57.9,60.0,59.24,59.16
5402,2021-04-22,62.28,63.91,62.57,63.35
5401,2021-04-21,62.3,63.775,63.7,62.79
5400,2021-04-20,62.41,63.76,62.7,63.64
5399,2021-04-19,63.07,64.74,63.63,64.7
5398,2021-04-16,64.57,65.52,64.75,65.33
5397,2021-04-15,63.6799,65.215,65.02,63.97
5396,2021-04-14,63.84,65.38,64.19,65.31
5395,2021-04-13,64.21,65.6346,65.22,65.61
5394,2021-04-12,64.71,68.49,65.405,68.2
5393,2021-04-09,66.63,68.4,68.26,66.7976
5392,2021-04-08,66.36,67.29,67.05,66.97
5391,2021-04-07,65.36,66.57,66.25,65.67
5390,2021-04-06,65.29,66.575,65.56,66.0616
5389,2021-04-05,64.7,66.74,66.54,64.95
5388,2021-04-01,63.575,64.89,64.55,64.725
5387,2021-03-31,63.58,64.4899,64.0,64.01
5386,2021-03-30,63.15,64.0,63.77,63.77
5385,2021-03-29,63.61,65.125,64.5,64.0113
5384,2021-03-26,61.77,64.97,64.87,61.8
5383,2021-03-25,60.975,62.44,62.02,61.655
5382,2021-03-24,61.99,67.44,62.04,66.58
5381,2021-03-23,63.17,66.05,63.48,66.0
5380,2021-03-22,64.56,66.38,65.63,64.82
5379,2021-03-19,62.92,64.99,63.76,63.18
5378,2021-03-18,63.65,65.7,63.725,65.63
5377,2021-03-17,63.71,66.29,65.78,64.2235
5376,2021-03-16,64.08,65.7302,64.78,64.15
5375,2021-03-15,62.48,63.875,63.79,63.61
