,Date,Low,High,Close,Open
313,2021-12-28,18.44,19.0701,18.57,18.89
312,2021-12-27,18.78,19.25,18.94,18.78
311,2021-12-23,18.72,19.135,18.93,18.85
310,2021-12-22,18.65,19.45,18.88,18.65
309,2021-12-21,18.1,18.98,18.9,18.16
308,2021-12-20,17.835,18.67,17.96,18.59
307,2021-12-17,17.81,19.1,19.06,18.03
306,2021-12-16,18.15,19.12,18.34,18.96
305,2021-12-15,17.995,18.94,18.86,18.37
304,2021-12-14,17.91,18.859,18.64,18.0
303,2021-12-13,18.17,19.075,18.4,18.8
302,2021-12-10,18.7,19.58,18.94,19.28
301,2021-12-09,19.04,20.15,19.21,19.95
300,2021-12-08,19.03,19.825,19.82,19.51
299,2021-12-07,19.07,19.855,19.46,19.26
298,2021-12-06,18.075,18.97,18.8,18.54
297,2021-12-03,18.4,19.53,18.98,19.5
296,2021-12-02,19.06,19.91,19.69,19.3
295,2021-12-01,19.29,20.89,19.38,20.53
294,2021-11-30,20.11,21.25,20.65,20.95
293,2021-11-29,20.56,21.4,21.07,21.19
292,2021-11-26,20.3485,21.09,21.03,20.41
291,2021-11-24,20.06,21.2,21.11,20.35
290,2021-11-23,20.05,21.05,20.59,20.59
289,2021-11-22,20.18,21.57,20.65,21.53
288,2021-11-19,21.3,21.96,21.41,21.6
287,2021-11-18,21.342,22.55,21.5,22.5
286,2021-11-17,22.4,23.2189,22.49,23.05
285,2021-11-16,22.61,23.29,23.13,23.29
284,2021-11-15,22.95,23.52,23.41,23.0
283,2021-11-12,22.38,23.225,22.83,23.02
282,2021-11-11,22.665,23.1299,22.99,23.04
281,2021-11-10,22.12,23.64,22.52,23.6
280,2021-11-09,23.95,25.98,24.25,25.9
279,2021-11-08,26.12,27.11,26.75,26.25
278,2021-11-05,25.72,26.63,26.0,26.45
277,2021-11-04,25.87,26.57,26.47,26.26
276,2021-11-03,25.17,26.235,26.12,25.89
275,2021-11-02,25.555,26.72,25.92,26.56
274,2021-11-01,25.8828,26.645,26.56,26.11
273,2021-10-29,25.45,26.12,25.88,25.5
272,2021-10-28,25.12,25.795,25.64,25.3
271,2021-10-27,25.02,25.9,25.06,25.64
270,2021-10-26,25.25,26.75,25.52,25.99
269,2021-10-25,24.48,25.54,25.41,24.5
268,2021-10-22,24.25,24.85,24.43,24.49
267,2021-10-21,24.08,24.93,24.78,24.13
266,2021-10-20,24.17,24.96,24.22,24.79
265,2021-10-19,24.36,25.2,24.69,24.5
264,2021-10-18,23.92,24.39,24.26,24.0
263,2021-10-15,23.83,24.52,24.0,24.5
262,2021-10-14,24.205,24.71,24.35,24.43
261,2021-10-13,23.79,24.31,24.13,23.83
260,2021-10-12,23.29,23.81,23.69,23.55
259,2021-10-11,23.26,23.98,23.53,23.26
258,2021-10-08,23.11,24.0955,23.5,23.86
257,2021-10-07,23.54,24.13,23.73,23.71
256,2021-10-06,23.35,25.01,23.58,24.91
255,2021-10-05,23.07,23.88,23.21,23.21
254,2021-10-04,23.02,24.05,23.17,24.01
253,2021-10-01,23.72,24.36,24.33,24.21
252,2021-09-30,23.88,25.05,24.04,24.69
251,2021-09-29,24.42,25.7,24.52,25.61
250,2021-09-28,25.21,27.13,25.34,27.02
249,2021-09-27,27.23,28.38,27.47,28.23
248,2021-09-24,27.9014,28.76,28.56,28.27
247,2021-09-23,27.67,29.19,28.77,27.71
246,2021-09-22,26.5822,27.77,27.43,26.61
245,2021-09-21,26.08,27.149,26.62,26.89
244,2021-09-20,26.06,28.0999,26.55,27.57
243,2021-09-17,28.07,29.29,28.71,28.66
242,2021-09-16,27.02,28.79,28.63,27.2
241,2021-09-15,26.03,27.15,27.08,26.3
240,2021-09-14,25.9,26.7,26.26,25.97
239,2021-09-13,25.03,26.239,25.83,26.15
238,2021-09-10,26.17,26.73,26.28,26.18
237,2021-09-09,25.29,26.24,26.13,25.39
236,2021-09-08,24.96,26.61,25.58,26.6
235,2021-09-07,26.2701,26.88,26.7,26.79
234,2021-09-03,26.22,26.75,26.64,26.49
233,2021-09-02,26.09,26.87,26.51,26.21
232,2021-09-01,26.03,26.51,26.2,26.46
231,2021-08-31,25.66,26.36,26.34,25.79
230,2021-08-30,25.62,26.6,25.76,25.74
229,2021-08-27,24.91,26.09,25.71,25.05
228,2021-08-26,24.36,25.41,24.87,24.4
227,2021-08-25,24.07,25.19,24.35,25.12
226,2021-08-24,24.76,25.35,25.1,25.0
225,2021-08-23,23.9,24.93,24.82,24.02
224,2021-08-20,23.66,24.48,24.01,24.22
223,2021-08-19,24.14,25.64,24.16,25.01
222,2021-08-18,23.68,25.94,25.28,24.07
221,2021-08-17,23.74,24.59,23.97,23.9
220,2021-08-16,23.77,24.9,24.5,24.9
219,2021-08-13,24.31,25.1,24.9,25.0
218,2021-08-12,23.585,25.76,24.89,24.45
217,2021-08-11,22.09,23.19,22.35,23.07
216,2021-08-10,22.78,23.52,22.92,23.01
215,2021-08-09,21.8,23.28,22.93,21.85
214,2021-08-06,21.79,22.69,21.82,22.64
213,2021-08-05,22.02,22.77,22.52,22.22
212,2021-08-04,22.07,22.54,22.3,22.2
211,2021-08-03,21.71,22.27,22.24,22.03
210,2021-08-02,21.48,22.37,22.1,21.91
209,2021-07-30,21.71,22.406,21.71,21.85
208,2021-07-29,22.14,22.85,22.18,22.78
207,2021-07-28,21.69,22.615,22.56,21.75
206,2021-07-27,21.09,22.11,21.68,21.96
205,2021-07-26,21.48,22.3,22.13,21.8
204,2021-07-23,21.51,22.08,21.81,22.01
203,2021-07-22,21.88,22.67,22.07,22.55
202,2021-07-21,22.12,22.68,22.52,22.27
201,2021-07-20,21.22,22.35,22.18,21.63
200,2021-07-19,20.55,21.69,21.54,20.97
199,2021-07-16,21.24,21.71,21.37,21.6
198,2021-07-15,21.01,22.055,21.47,21.72
197,2021-07-14,21.51,22.62,21.56,22.49
196,2021-07-13,22.42,22.99,22.45,22.98
