,Date,Low,High,Close,Open
4353,2021-12-28,29.97,30.4,30.05,30.15
4352,2021-12-27,29.56,30.195,30.175,29.595
4351,2021-12-24,29.67,30.095,29.77,29.75
4350,2021-12-23,29.335,29.945,29.795,29.35
4349,2021-12-22,28.775,29.255,29.175,29.11
4348,2021-12-21,28.3,29.175,29.115,28.5
4347,2021-12-20,27.86,28.55,28.17,28.5
4346,2021-12-17,28.81,29.37,29.12,29.105
4345,2021-12-16,29.4,29.93,29.505,29.46
4344,2021-12-15,28.845,29.59,28.865,29.15
4343,2021-12-14,28.82,29.415,29.02,29.38
4342,2021-12-13,29.385,30.205,29.385,29.955
4341,2021-12-10,29.56,30.32,29.79,29.9
4340,2021-12-09,29.8,30.63,29.925,30.3
4339,2021-12-08,29.24,30.385,30.105,29.9
4338,2021-12-07,29.7,30.36,29.905,29.97
4337,2021-12-06,28.4,29.605,29.435,28.855
4336,2021-12-03,28.515,29.56,28.715,29.46
4335,2021-12-02,28.325,29.26,29.035,28.51
4334,2021-12-01,28.72,29.54,29.33,28.835
4333,2021-11-30,27.98,28.985,28.46,28.575
4332,2021-11-29,29.015,30.09,29.145,30.0
4331,2021-11-26,29.5,30.815,29.61,30.5
4330,2021-11-25,31.79,32.29,32.115,32.22
4329,2021-11-24,31.91,33.255,32.105,32.79
4328,2021-11-23,32.35,33.225,32.61,32.92
4327,2021-11-22,32.625,33.32,33.195,32.88
4326,2021-11-19,32.29,34.445,32.93,34.4
4325,2021-11-18,34.025,35.09,34.28,34.61
4324,2021-11-17,34.49,35.05,34.675,34.62
4323,2021-11-16,34.31,35.16,34.81,34.315
4322,2021-11-15,33.85,35.0,34.285,33.945
4321,2021-11-12,33.49,34.635,34.37,33.49
4320,2021-11-11,32.925,33.645,32.925,33.6
4319,2021-11-10,33.545,34.61,34.3,33.575
4318,2021-11-09,32.65,34.075,33.655,32.65
4317,2021-11-08,32.065,32.525,32.425,32.435
4316,2021-11-05,31.5,32.755,32.54,31.81
4315,2021-11-04,31.61,32.495,31.965,31.74
4314,2021-11-03,30.945,31.75,31.495,31.3
4313,2021-11-02,31.22,31.985,31.375,31.64
4312,2021-11-01,31.135,32.23,31.73,31.15
4311,2021-10-29,30.625,31.215,31.06,30.755
4310,2021-10-28,30.7,31.255,30.92,31.12
4309,2021-10-27,30.885,31.6,31.355,31.415
4308,2021-10-26,30.535,31.77,31.51,30.995
4307,2021-10-25,30.665,31.4,30.975,31.1
4306,2021-10-22,30.37,31.705,31.15,31.0
4305,2021-10-21,30.54,31.595,30.955,30.955
4304,2021-10-20,30.06,32.325,31.355,32.23
4303,2021-10-19,32.25,33.035,32.25,32.605
4302,2021-10-18,32.24,33.355,32.595,33.0
4301,2021-10-15,32.35,33.485,33.215,32.35
4300,2021-10-14,32.075,32.62,32.095,32.5
4299,2021-10-13,32.09,33.035,32.175,32.88
4298,2021-10-12,32.2,32.87,32.775,32.7
4297,2021-10-11,31.245,32.685,32.51,31.34
4296,2021-10-08,30.61,31.605,31.445,30.79
4295,2021-10-07,30.245,31.22,30.73,30.495
4294,2021-10-06,29.73,30.685,30.015,30.63
4293,2021-10-05,30.62,31.28,31.225,30.78
4292,2021-10-04,30.22,31.155,30.805,30.73
4291,2021-10-01,30.08,31.21,30.945,30.45
4290,2021-09-30,30.66,31.68,30.895,31.59
4289,2021-09-29,30.45,31.645,31.39,31.025
4288,2021-09-28,30.64,31.98,30.945,31.58
4287,2021-09-27,30.995,31.64,31.51,31.0
4286,2021-09-24,29.55,30.93,30.73,29.895
4285,2021-09-23,29.39,30.175,30.02,29.45
4284,2021-09-22,28.475,29.4,29.195,28.545
4283,2021-09-21,27.865,28.545,28.18,28.35
4282,2021-09-20,27.48,28.275,28.125,28.24
4281,2021-09-17,28.615,29.32,28.755,29.265
4280,2021-09-16,29.07,29.9,29.105,29.675
4279,2021-09-15,29.36,29.875,29.605,29.725
4278,2021-09-14,29.725,30.59,29.83,30.085
4277,2021-09-13,29.335,30.025,30.02,29.335
4276,2021-09-10,28.965,29.585,29.255,29.3
4275,2021-09-09,28.8,29.62,29.35,29.135
4274,2021-09-08,29.08,30.055,29.49,29.55
4273,2021-09-07,29.61,30.295,29.735,30.27
4272,2021-09-06,30.04,30.62,30.155,30.28
4271,2021-09-03,30.08,30.7,30.11,30.68
4270,2021-09-02,30.6,31.175,30.675,30.945
4269,2021-09-01,30.95,31.74,30.95,31.71
4268,2021-08-31,30.875,31.74,31.45,31.105
4267,2021-08-30,30.915,31.485,31.03,31.27
4266,2021-08-27,30.77,31.225,31.175,30.98
4265,2021-08-26,30.66,31.28,30.995,31.06
4264,2021-08-25,30.91,31.665,31.375,31.3
4263,2021-08-24,31.145,31.49,31.305,31.355
4262,2021-08-23,31.025,31.985,31.025,31.645
4261,2021-08-20,30.41,31.15,31.15,30.91
4260,2021-08-19,31.0,32.035,31.505,31.38
4259,2021-08-18,31.92,32.465,32.345,32.465
4258,2021-08-17,32.35,32.74,32.475,32.63
4257,2021-08-16,32.76,33.37,32.93,33.37
4256,2021-08-13,33.46,34.05,33.665,33.9
4255,2021-08-12,33.73,34.105,33.87,33.995
4254,2021-08-11,33.135,33.915,33.885,33.62
4253,2021-08-10,33.225,33.68,33.62,33.6
4252,2021-08-09,33.3,34.235,33.605,34.23
4251,2021-08-06,33.605,34.5,34.295,33.99
4250,2021-08-05,33.285,34.175,34.125,33.57
4249,2021-08-04,32.37,33.585,33.585,32.56
4248,2021-08-03,32.275,33.135,32.3,32.94
4247,2021-08-02,32.31,33.36,32.755,32.65
4246,2021-07-30,31.365,34.62,32.025,34.0
4245,2021-07-29,33.0,33.715,33.135,33.02
4244,2021-07-28,31.685,33.2,32.93,31.74
4243,2021-07-27,30.865,31.71,31.5,31.445
4242,2021-07-26,30.515,31.77,31.54,30.98
4241,2021-07-23,31.11,31.935,31.215,31.31
4240,2021-07-22,30.91,32.06,30.915,31.66
4239,2021-07-21,30.165,31.61,31.41,30.335
4238,2021-07-20,29.4,30.34,30.07,30.0
4237,2021-07-19,29.08,30.57,29.83,30.52
4236,2021-07-16,30.76,32.2,30.965,31.345
4235,2021-07-15,31.0,32.005,31.335,32.0
4234,2021-07-14,32.01,32.885,32.035,32.38
4233,2021-07-13,32.255,33.2,32.435,33.055
4232,2021-07-12,32.4,33.43,33.015,33.43
4231,2021-07-09,32.91,33.995,33.5,33.06
4230,2021-07-08,31.71,32.88,32.735,32.88
4229,2021-07-07,32.625,34.235,33.265,33.8
4228,2021-07-06,33.63,35.485,33.715,35.4
4227,2021-07-05,34.92,35.755,35.65,35.43
4226,2021-07-02,35.39,35.94,35.51,35.7
4225,2021-07-01,34.25,35.61,35.61,34.33
4224,2021-06-30,34.005,35.26,34.085,35.085
4223,2021-06-29,34.365,35.45,35.085,34.92
4222,2021-06-28,34.65,35.725,34.695,35.07
4221,2021-06-25,34.42,35.28,35.26,35.28
4220,2021-06-24,34.86,35.765,35.365,35.34
4219,2021-06-23,34.93,35.395,35.2,35.06
4218,2021-06-22,34.8,36.34,35.055,36.22
4217,2021-06-21,34.42,36.06,35.91,34.87
4216,2021-06-18,34.88,36.57,35.28,36.57
4215,2021-06-17,36.26,37.495,36.745,36.49
4214,2021-06-16,35.335,36.695,36.695,36.395
4213,2021-06-15,36.145,37.02,36.22,36.925
4212,2021-06-14,36.505,37.1,36.835,36.92
4211,2021-06-11,34.19,36.94,36.9,34.365
4210,2021-06-10,34.11,35.12,34.47,34.505
4209,2021-06-09,33.995,34.675,34.615,34.37
4208,2021-06-08,33.925,34.76,34.475,34.41
4207,2021-06-07,34.03,34.655,34.51,34.18
4206,2021-06-04,34.01,34.925,34.18,34.865
4205,2021-06-03,34.245,34.955,34.86,34.64
4204,2021-06-02,33.88,34.61,34.58,34.135
4203,2021-06-01,33.925,34.47,34.02,34.075
4202,2021-05-31,33.745,34.16,33.835,34.0
4201,2021-05-28,34.08,34.81,34.125,34.4
4200,2021-05-27,33.08,34.33,34.21,33.225
4199,2021-05-26,32.58,33.37,33.285,33.02
4198,2021-05-25,32.855,33.48,33.07,33.2
4197,2021-05-24,32.66,33.145,33.01,32.74
4196,2021-05-21,32.41,33.045,32.55,32.48
4195,2021-05-20,31.79,32.615,32.36,32.56
4194,2021-05-19,31.855,33.39,32.315,32.9
4193,2021-05-18,33.165,34.61,33.74,33.97
4192,2021-05-17,33.275,33.855,33.685,33.5
4191,2021-05-14,31.97,33.485,33.405,32.63
4190,2021-05-13,31.45,32.635,32.35,32.225
4189,2021-05-12,31.825,33.04,32.655,32.97
4188,2021-05-11,32.845,34.895,33.07,34.655
4187,2021-05-10,34.45,35.47,35.345,34.48
4186,2021-05-07,33.905,34.605,34.15,34.57
4185,2021-05-06,33.87,34.84,34.39,34.62
4184,2021-05-05,33.44,34.475,34.475,33.73
4183,2021-05-04,33.25,34.46,33.43,34.11
4182,2021-05-03,33.34,34.255,34.12,33.58
4181,2021-04-30,33.285,33.815,33.525,33.59
4180,2021-04-29,33.35,35.4,33.635,35.33
4179,2021-04-28,34.345,35.395,35.105,34.63
4178,2021-04-27,33.825,34.575,34.48,34.385
4177,2021-04-26,32.93,34.315,34.315,33.575
4176,2021-04-23,33.36,34.27,33.725,33.74
4175,2021-04-22,33.655,34.925,34.075,34.53
4174,2021-04-21,33.595,35.115,34.535,34.58
4173,2021-04-20,34.475,36.12,34.5,36.03
4172,2021-04-19,35.62,36.365,36.13,36.3
4171,2021-04-16,35.655,36.48,36.13,35.685
4170,2021-04-15,35.265,35.98,35.32,35.595
4169,2021-04-14,35.085,35.725,35.54,35.19
4168,2021-04-13,34.78,35.845,35.1,35.59
4167,2021-04-12,35.525,36.38,35.755,35.69
4166,2021-04-09,35.69,36.735,35.815,36.385
4165,2021-04-08,36.03,38.0,36.395,37.88
4164,2021-04-07,37.385,38.96,37.705,38.32
4163,2021-04-06,38.19,39.075,38.19,38.46
4162,2021-04-01,36.9,38.13,37.96,37.005
4161,2021-03-31,36.88,38.185,36.93,37.635
4160,2021-03-30,36.55,37.665,37.645,36.635
4159,2021-03-29,36.165,36.785,36.435,36.55
4158,2021-03-26,36.215,37.4,36.4,37.195
4157,2021-03-25,35.905,36.855,36.705,36.685
4156,2021-03-24,36.04,37.47,37.0,36.6
4155,2021-03-23,36.84,38.165,36.99,38.075
4154,2021-03-22,38.025,38.62,38.28,38.36
4153,2021-03-19,38.36,39.62,38.81,39.5
4152,2021-03-18,39.515,41.075,40.075,40.2
4151,2021-03-17,38.54,39.975,39.635,38.685
4150,2021-03-16,38.17,39.59,38.445,39.21
4149,2021-03-15,38.815,40.13,38.995,39.78
4148,2021-03-12,39.23,40.015,39.79,39.645
4147,2021-03-11,39.69,41.235,39.735,41.135
4146,2021-03-10,40.435,41.42,41.085,40.62
4145,2021-03-09,40.095,41.42,40.84,40.185
4144,2021-03-08,38.63,40.2,40.075,39.0
4143,2021-03-05,38.33,39.235,38.55,38.78
4142,2021-03-04,38.18,39.445,39.175,38.815
4141,2021-03-03,38.45,39.72,39.37,38.45
4140,2021-03-02,37.215,37.955,37.42,37.645
4139,2021-03-01,37.395,38.1,37.635,37.895
4138,2021-02-26,36.4,37.44,37.125,36.6
4137,2021-02-25,37.125,38.15,37.355,37.4
4136,2021-02-24,36.32,37.29,36.965,36.535
4135,2021-02-23,36.505,37.8,36.71,37.18
4134,2021-02-22,36.24,37.395,36.885,37.35
4133,2021-02-19,36.4,38.81,38.035,38.35
4132,2021-02-18,39.28,40.135,39.8,39.4
4131,2021-02-17,39.215,40.245,39.49,39.9
4130,2021-02-16,39.0,40.185,39.915,39.41
4129,2021-02-15,38.855,39.885,39.45,39.58
4128,2021-02-12,38.57,39.705,39.34,39.105
4127,2021-02-11,39.18,39.94,39.39,39.255
4126,2021-02-10,39.14,40.295,39.26,39.495
4125,2021-02-09,38.96,40.3,39.77,40.18
4124,2021-02-08,40.0,40.94,40.44,40.195
4123,2021-02-05,38.89,40.74,40.36,38.895
