,Date,Low,High,Close,Open
4349,2021-12-28,106.08,107.08,106.88,106.68
4348,2021-12-27,105.2,107.16,106.68,106.54
4347,2021-12-24,105.6,106.7,106.7,106.08
4346,2021-12-23,105.16,107.26,107.04,105.16
4345,2021-12-22,101.3,104.56,104.56,101.54
4344,2021-12-21,99.93,102.36,101.54,100.9
4343,2021-12-20,96.17,100.64,99.44,99.09
4342,2021-12-17,99.46,101.6,101.24,100.0
4341,2021-12-16,99.26,101.24,100.0,100.3
4340,2021-12-15,98.4,100.94,98.5,100.94
4339,2021-12-14,100.32,102.34,100.56,101.34
4338,2021-12-13,100.68,104.46,100.68,104.46
4337,2021-12-10,103.82,106.04,103.82,105.2
4336,2021-12-09,104.84,106.76,105.96,106.5
4335,2021-12-08,103.6,108.6,107.52,105.54
4334,2021-12-07,104.18,106.84,106.06,105.2
4333,2021-12-06,99.11,104.36,103.78,100.42
4332,2021-12-03,97.94,103.72,98.66,102.88
4331,2021-12-02,101.1,105.02,102.14,101.6
4330,2021-12-01,99.38,103.24,103.12,100.0
4329,2021-11-30,96.88,101.56,98.78,99.66
4328,2021-11-29,101.0,103.78,101.6,102.5
4327,2021-11-26,99.17,106.6,101.1,106.6
4326,2021-11-25,111.32,113.08,112.66,112.36
4325,2021-11-24,110.8,113.76,112.48,112.88
4324,2021-11-23,111.1,113.54,112.22,111.2
4323,2021-11-22,111.1,114.16,111.6,113.4
4322,2021-11-19,111.5,116.38,112.96,116.0
4321,2021-11-18,115.08,117.66,115.82,116.22
4320,2021-11-17,115.74,119.32,116.2,119.3
4319,2021-11-16,119.36,121.38,119.48,120.48
4318,2021-11-15,120.18,122.92,120.66,121.3
4317,2021-11-12,120.94,122.48,121.12,121.28
4316,2021-11-11,121.02,123.12,121.58,122.52
4315,2021-11-10,120.26,123.0,123.0,120.54
4314,2021-11-09,119.94,122.72,120.62,119.94
4313,2021-11-08,118.84,121.28,120.12,120.24
4312,2021-11-05,112.7,120.6,120.36,114.5
4311,2021-11-04,114.14,116.48,114.6,115.0
4310,2021-11-03,113.2,114.96,113.98,114.86
4309,2021-11-02,114.0,115.58,115.18,115.12
4308,2021-11-01,114.02,117.24,115.02,115.08
4307,2021-10-29,115.0,119.08,116.04,115.9
4306,2021-10-28,111.5,114.2,114.08,111.5
4305,2021-10-27,111.16,113.02,112.0,111.58
4304,2021-10-26,107.18,113.48,112.46,108.0
4303,2021-10-25,106.92,110.74,107.76,110.64
4302,2021-10-22,110.06,111.6,110.52,110.48
4301,2021-10-21,107.14,111.1,110.6,108.5
4300,2021-10-20,107.86,111.62,109.02,111.22
4299,2021-10-19,111.0,114.0,111.0,113.9
4298,2021-10-18,112.58,115.76,113.46,115.64
4297,2021-10-15,113.88,116.56,115.98,113.88
4296,2021-10-14,112.04,114.5,113.92,113.5
4295,2021-10-13,111.5,112.9,112.74,112.6
4294,2021-10-12,111.62,113.94,112.7,113.8
4293,2021-10-11,114.18,117.22,115.74,114.54
4292,2021-10-08,112.9,115.12,115.12,112.9
4291,2021-10-07,110.8,113.66,113.5,111.36
4290,2021-10-06,108.34,110.54,110.2,110.5
4289,2021-10-05,109.02,111.06,111.0,109.44
4288,2021-10-04,109.2,111.62,109.2,110.86
