,Date,Low,High,Close,Open
2909,2021-12-28,19.03,19.15,19.04,19.06
2908,2021-12-27,18.91,19.16,19.11,18.94
2907,2021-12-23,18.64,18.84,18.78,18.65
2906,2021-12-22,18.3,18.7,18.7,18.31
2905,2021-12-21,18.225,18.47,18.46,18.27
2904,2021-12-20,17.775,18.04,18.0,17.94
2903,2021-12-17,18.29,18.66,18.29,18.64
2902,2021-12-16,18.875,19.175,18.95,19.08
2901,2021-12-15,18.265,18.74,18.74,18.49
2900,2021-12-14,18.295,18.58,18.42,18.39
2899,2021-12-13,18.385,18.6799,18.44,18.64
2898,2021-12-10,18.56,18.84,18.82,18.71
2897,2021-12-09,18.47,18.72,18.49,18.72
2896,2021-12-08,18.755,19.0,18.95,18.87
2895,2021-12-07,18.74,19.105,18.78,18.9
2894,2021-12-06,18.09,18.575,18.42,18.19
2893,2021-12-03,17.655,18.035,17.79,17.97
2892,2021-12-02,17.99,18.23,18.14,18.04
2891,2021-12-01,17.68,18.19,17.68,17.98
2890,2021-11-30,16.94,17.475,17.13,17.43
2889,2021-11-29,17.4801,17.85,17.53,17.8
2888,2021-11-26,17.54,17.95,17.75,17.88
2887,2021-11-24,18.46,18.86,18.78,18.5
2886,2021-11-23,19.085,19.43,19.24,19.35
2885,2021-11-22,19.42,19.7,19.47,19.59
2884,2021-11-19,19.6199,19.885,19.65,19.76
2883,2021-11-18,20.25,20.42,20.4,20.4
2882,2021-11-17,20.23,20.36,20.29,20.29
2881,2021-11-16,20.43,20.61,20.45,20.45
2880,2021-11-15,20.41,20.61,20.49,20.58
2879,2021-11-12,20.415,20.56,20.47,20.47
2878,2021-11-11,20.38,20.54,20.49,20.52
2877,2021-11-10,20.365,20.76,20.5,20.42
2876,2021-11-09,20.14,20.465,20.24,20.45
2875,2021-11-08,20.26,20.43,20.32,20.27
2874,2021-11-05,20.26,20.54,20.43,20.49
2873,2021-11-04,20.2076,20.57,20.37,20.5
2872,2021-11-03,20.14,20.49,20.49,20.18
2871,2021-11-02,20.17,20.32,20.3,20.29
2870,2021-11-01,20.02,20.3,20.28,20.06
2869,2021-10-29,19.76,20.0,19.94,19.86
2868,2021-10-28,19.92,20.41,20.04,20.34
2867,2021-10-27,20.145,20.555,20.26,20.22
2866,2021-10-26,20.23,20.54,20.29,20.5
2865,2021-10-25,20.15,20.415,20.36,20.27
2864,2021-10-22,19.49,19.77,19.56,19.72
2863,2021-10-21,19.585,19.79,19.67,19.74
2862,2021-10-20,19.25,19.6,19.58,19.3
2861,2021-10-19,19.44,19.66,19.48,19.59
2860,2021-10-18,19.54,19.66,19.58,19.63
2859,2021-10-15,19.84,20.06,19.98,19.98
2858,2021-10-14,19.57,19.86,19.83,19.66
2857,2021-10-13,19.415,19.78,19.59,19.76
2856,2021-10-12,19.32,19.53,19.38,19.42
2855,2021-10-11,19.19,19.61,19.21,19.46
2854,2021-10-08,19.2,19.36,19.29,19.28
2853,2021-10-07,18.98,19.175,19.07,19.01
2852,2021-10-06,18.33,18.64,18.55,18.53
2851,2021-10-05,18.855,19.25,19.1,18.95
2850,2021-10-04,18.735,19.045,18.78,18.96
2849,2021-10-01,18.74,19.095,19.06,19.05
2848,2021-09-30,19.02,19.265,19.1,19.19
2847,2021-09-29,19.195,19.445,19.27,19.41
2846,2021-09-28,19.04,19.8,19.05,19.75
2845,2021-09-27,19.61,19.94,19.74,19.62
2844,2021-09-24,19.62,19.77,19.72,19.75
2843,2021-09-23,19.475,19.78,19.75,19.52
2842,2021-09-22,19.19,19.5,19.31,19.21
2841,2021-09-21,18.65,18.9,18.77,18.85
2840,2021-09-20,18.62,18.9467,18.88,18.81
2839,2021-09-17,19.735,20.18,19.78,20.12
2838,2021-09-16,20.44,20.7,20.6,20.66
2837,2021-09-15,20.28,20.8,20.76,20.38
2836,2021-09-14,19.98,20.32,20.04,20.31
2835,2021-09-13,19.77,19.97,19.97,19.91
2834,2021-09-10,19.62,19.98,19.63,19.93
2833,2021-09-09,19.58,19.77,19.72,19.68
2832,2021-09-08,19.48,19.785,19.48,19.7
2831,2021-09-07,19.87,20.315,19.88,20.24
2830,2021-09-03,20.235,20.42,20.28,20.39
2829,2021-09-02,20.11,20.33,20.22,20.13
2828,2021-09-01,19.86,20.19,20.05,19.88
2827,2021-08-31,19.82,20.1,20.02,20.01
2826,2021-08-30,20.01,20.28,20.01,20.28
2825,2021-08-27,20.03,20.375,20.29,20.03
2824,2021-08-26,19.96,20.225,20.01,20.19
2823,2021-08-25,20.285,20.405,20.34,20.37
2822,2021-08-24,20.13,20.46,20.36,20.16
2821,2021-08-23,20.0853,20.315,20.27,20.09
2820,2021-08-20,19.975,20.18,20.16,20.04
2819,2021-08-19,20.16,20.47,20.34,20.42
2818,2021-08-18,20.87,21.09,20.87,20.93
2817,2021-08-17,20.635,21.16,20.84,21.08
2816,2021-08-16,21.495,21.69,21.68,21.6
2815,2021-08-13,21.78,21.99,21.82,21.95
2814,2021-08-12,21.535,21.745,21.7,21.67
2813,2021-08-11,21.08,21.34,21.32,21.19
2812,2021-08-10,20.99,21.125,21.09,21.01
2811,2021-08-09,21.005,21.195,21.12,21.02
2810,2021-08-06,21.0043,21.18,21.09,21.18
2809,2021-08-05,20.505,20.665,20.57,20.53
2808,2021-08-04,20.5133,20.81,20.57,20.8
2807,2021-08-03,20.0,20.32,20.29,20.24
2806,2021-08-02,19.265,19.68,19.28,19.45
2805,2021-07-30,19.145,19.3716,19.17,19.26
2804,2021-07-29,19.27,19.52,19.47,19.3
2803,2021-07-28,18.5481,18.805,18.74,18.69
2802,2021-07-27,18.45,18.67,18.63,18.65
2801,2021-07-26,18.65,18.84,18.8,18.68
2800,2021-07-23,18.46,18.69,18.52,18.68
2799,2021-07-22,18.335,18.57,18.35,18.55
2798,2021-07-21,18.405,18.59,18.49,18.48
